model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,num_hidden_layers,units,reg_weight,maxi_rate,lr,pickle_file
new_der_log,rosenbrock4,ts,40,500,14,-1.01917,-1.019163767,500,26.541,17534.472,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed14.pkl
new_der_log,hartmann6,ei,60,500,4,-3.32237,-3.159922779,500,1401.608,5752.632,4,100,0.001,0.01,0.001,new_der_log_ei_hartmann6_L4_n100_rw1e3_m1e2_lr1e3_seed4.pkl
new_der_log,hartmann6,ei,60,500,5,-3.32237,-3.200803826,500,1555.439,4950.782,4,100,0.001,0.01,0.001,new_der_log_ei_hartmann6_L4_n100_rw1e3_m1e2_lr1e3_seed5.pkl
new_der_log,hartmann6,ei,60,500,6,-3.32237,-3.201012331,500,1602.367,5037.031,4,100,0.001,0.01,0.001,new_der_log_ei_hartmann6_L4_n100_rw1e3_m1e2_lr1e3_seed6.pkl
new_der_log,rosenbrock4,ts,40,500,15,-1.01917,-1.019169269,500,26.168,17768.951,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed15.pkl
new_der_log,hartmann6,ei,60,500,7,-3.32237,-3.192435043,500,1588.831,5169.542,4,100,0.001,0.01,0.001,new_der_log_ei_hartmann6_L4_n100_rw1e3_m1e2_lr1e3_seed7.pkl
new_der_log,hartmann6,ei,60,500,9,-3.32237,-3.265090375,500,1603.116,5107.479,4,100,0.001,0.01,0.001,new_der_log_ei_hartmann6_L4_n100_rw1e3_m1e2_lr1e3_seed9.pkl
new_der_log,rosenbrock4,ts,40,500,19,-1.01917,-1.019161039,500,25.668,16862.353,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed19.pkl
new_der_log,rosenbrock4,ts,40,500,17,-1.01917,-1.019168126,500,26.194,18176.663,4,100,0.001,0.01,0.001,new_der_log_ts_rosenbrock4_L4_n100_rw1e3_m1e2_lr1e3_seed17.pkl
new_der_log,hartmann6,ei,60,500,11,-3.32237,-3.02189335,500,1375.349,5512.164,4,100,0.001,0.01,0.001,new_der_log_ei_hartmann6_L4_n100_rw1e3_m1e2_lr1e3_seed11.pkl
new_der_log,hartmann6,ei,60,500,14,-3.32237,-3.199487366,500,1553.471,5059.654,4,100,0.001,0.01,0.001,new_der_log_ei_hartmann6_L4_n100_rw1e3_m1e2_lr1e3_seed14.pkl
new_der_log,hartmann6,ei,60,500,15,-3.32237,-3.197259982,500,1667.647,5088.393,4,100,0.001,0.01,0.001,new_der_log_ei_hartmann6_L4_n100_rw1e3_m1e2_lr1e3_seed15.pkl
new_der_log,hartmann6,ei,60,500,16,-3.32237,-3.122001149,500,1555.638,5570.562,4,100,0.001,0.01,0.001,new_der_log_ei_hartmann6_L4_n100_rw1e3_m1e2_lr1e3_seed16.pkl
new_der_log,scaled_branin,ei,20,500,7,-1.047393,-1.047283223,5,4.767,11.926,4,100,0.001,0.01,0.001,new_der_log_ei_scaled_branin_L4_n100_rw1e3_m1e2_lr1e3_seed7.pkl
new_der_log,scaled_branin,ei,20,500,5,-1.047393,-1.047271494,15,15.836,40.912,4,100,0.001,0.01,0.001,new_der_log_ei_scaled_branin_L4_n100_rw1e3_m1e2_lr1e3_seed5.pkl
new_der_log,scaled_branin,ei,20,500,3,-1.047393,-1.047355229,25,26.63,62.122,4,100,0.001,0.01,0.001,new_der_log_ei_scaled_branin_L4_n100_rw1e3_m1e2_lr1e3_seed3.pkl
new_der_log,scaled_branin,ei,20,500,1,-1.047393,-1.046458227,46,49.371,149.806,4,100,0.001,0.01,0.001,new_der_log_ei_scaled_branin_L4_n100_rw1e3_m1e2_lr1e3_seed1.pkl
new_der_log,scaled_branin,ei,20,500,0,-1.047393,-1.047228128,50,62.534,150.916,4,100,0.001,0.01,0.001,new_der_log_ei_scaled_branin_L4_n100_rw1e3_m1e2_lr1e3_seed0.pkl
