model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,ensemble_size,num_hidden_layers,units,pickle_file
de,rosenbrock4,ei,40,500,11,-1.01917,-1.019155558,52,189.605,346.207,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed11.pkl
de,rosenbrock4,ei,40,500,10,-1.01917,-1.019145204,101,368.798,786.466,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed10.pkl
de,rosenbrock4,ei,40,500,7,-1.01917,-1.019160733,162,531.399,1544.498,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed7.pkl
de,rosenbrock4,ei,40,500,13,-1.01917,-1.019168005,119,404.403,1017.616,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed13.pkl
de,rosenbrock4,ei,40,500,14,-1.01917,-1.019171814,115,405.855,933.972,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed14.pkl
de,rosenbrock4,ei,40,500,16,-1.01917,-1.019165772,80,292.978,596.541,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed16.pkl
de,rosenbrock4,ei,40,500,15,-1.01917,-1.019161943,160,532.983,1410.832,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed15.pkl
de,rosenbrock4,ei,40,500,18,-1.01917,-1.019172723,76,266.015,574.034,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed18.pkl
de,rosenbrock4,ei,40,500,12,-1.01917,-1.019164698,211,711.654,2307.83,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed12.pkl
de,rosenbrock4,ei,40,500,19,-1.01917,-1.019096937,79,279.061,573.226,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed19.pkl
de,rosenbrock4,ei,40,500,17,-1.01917,-1.019159451,141,472.453,1287.338,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed17.pkl
de,rosenbrock4,ei,40,500,8,-1.01917,-1.019131685,361,1191.983,5664.274,7,5,50,de_ei_rosenbrock4_L5_n50_es7_seed8.pkl
de,rosenbrock4,ts,40,500,7,-1.01917,-1.01917334,47,27.254,540.598,7,5,50,de_ts_rosenbrock4_L5_n50_es7_seed7.pkl
de,rosenbrock4,ts,40,500,8,-1.01917,-1.01912754,105,59.983,2082.964,7,5,50,de_ts_rosenbrock4_L5_n50_es7_seed8.pkl
de,rosenbrock4,ts,40,500,4,-1.01917,-1.019166805,268,154.754,11204.144,7,5,50,de_ts_rosenbrock4_L5_n50_es7_seed4.pkl
de,scaled_branin,ei,20,500,5,-1.047393,-1.046510057,4,11.569,18.556,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed5.pkl
de,scaled_branin,ei,20,500,0,-1.047393,-1.047056619,48,76.152,152.012,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed0.pkl
de,scaled_branin,ei,20,500,4,-1.047393,-1.047142409,47,76.141,130.225,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed4.pkl
de,scaled_branin,ei,20,500,6,-1.047393,-1.046783019,62,96.518,257.44,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed6.pkl
de,scaled_branin,ei,20,500,10,-1.047393,-1.047082753,55,92.123,189.677,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed10.pkl
de,scaled_branin,ei,20,500,12,-1.047393,-1.047028992,4,16.36,10.219,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed12.pkl
