model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,num_hidden_layers,units,rate,num_passes,lr,pickle_file
mc,rosenbrock4,ei,40,500,7,-1.01917,-1.0189365472772107,500,3210.036,5086.346,5,100,0.1,50,0.001,mc_ei_rosenbrock4_L5_n100_dr1e1_lr1e3_seed7.pkl
mc,rosenbrock4,ei,40,500,9,-1.01917,-1.0189944390803762,500,3562.537,5119.109,5,100,0.1,50,0.001,mc_ei_rosenbrock4_L5_n100_dr1e1_lr1e3_seed9.pkl
mc,rosenbrock4,ts,40,500,0,-1.01917,-1.0191627976600515,500,206.882,16997.492,5,100,0.1,50,0.001,mc_ts_rosenbrock4_L5_n100_dr1e1_lr1e3_seed0.pkl
mc,eggho2,ts,20,500,3,-959.6407,-958.6464693806697,500,203.469,19379.379,5,100,0.1,50,0.001,mc_ts_eggho2_L5_n100_dr1e1_lr1e3_seed3.pkl
mc,hartmann6,ei,60,500,0,-3.32237,-3.183202237799911,500,4900.26,5698.522,5,100,0.1,50,0.001,mc_ei_hartmann6_L5_n100_dr1e1_lr1e3_seed0.pkl
mc,hartmann6,ei,60,500,1,-3.32237,-3.3087353852137857,500,5133.458,5790.077,5,100,0.1,50,0.001,mc_ei_hartmann6_L5_n100_dr1e1_lr1e3_seed1.pkl
mc,rosenbrock4,ts,40,500,2,-1.01917,-1.0191622491086134,500,206.913,17385.211,5,100,0.1,50,0.001,mc_ts_rosenbrock4_L5_n100_dr1e1_lr1e3_seed2.pkl
mc,hartmann6,ei,60,500,2,-3.32237,-3.2888057534929565,500,5062.276,5681.606,5,100,0.1,50,0.001,mc_ei_hartmann6_L5_n100_dr1e1_lr1e3_seed2.pkl
mc,eggho2,ts,20,500,5,-959.6407,-919.1721138536011,500,203.232,20115.555,5,100,0.1,50,0.001,mc_ts_eggho2_L5_n100_dr1e1_lr1e3_seed5.pkl
mc,hartmann6,ei,60,500,3,-3.32237,-3.195079181147881,500,5246.964,5947.923,5,100,0.1,50,0.001,mc_ei_hartmann6_L5_n100_dr1e1_lr1e3_seed3.pkl
mc,hartmann6,ei,60,500,4,-3.32237,-3.186897500110316,500,5464.295,5843.455,5,100,0.1,50,0.001,mc_ei_hartmann6_L5_n100_dr1e1_lr1e3_seed4.pkl
mc,rosenbrock4,ts,40,500,3,-1.01917,-1.0191627104880903,175,182.757,2542.901,5,100,0.1,50,0.001,mc_ts_rosenbrock4_L5_n100_dr1e1_lr1e3_seed3.pkl
mc,hartmann6,ei,60,500,5,-3.32237,-3.1930623981377346,500,5166.877,5637.296,5,100,0.1,50,0.001,mc_ei_hartmann6_L5_n100_dr1e1_lr1e3_seed5.pkl
mc,rosenbrock4,ts,40,500,4,-1.01917,-1.019148571857828,500,209.089,16826.317,5,100,0.1,50,0.001,mc_ts_rosenbrock4_L5_n100_dr1e1_lr1e3_seed4.pkl
mc,eggho2,ts,20,500,7,-959.6407,-888.7981274621034,500,212.786,19919.14,5,100,0.1,50,0.001,mc_ts_eggho2_L5_n100_dr1e1_lr1e3_seed7.pkl
mc,rosenbrock4,ts,40,500,6,-1.01917,-1.0191524092000774,500,206.865,16686.172,5,100,0.1,50,0.001,mc_ts_rosenbrock4_L5_n100_dr1e1_lr1e3_seed6.pkl
mc,hartmann6,ei,60,500,6,-3.32237,-3.1812766508058727,500,5153.459,5787.81,5,100,0.1,50,0.001,mc_ei_hartmann6_L5_n100_dr1e1_lr1e3_seed6.pkl
mc,rosenbrock4,ts,40,500,9,-1.01917,-1.0191610867790888,500,519.02,16763.764,5,100,0.1,50,0.001,mc_ts_rosenbrock4_L5_n100_dr1e1_lr1e3_seed9.pkl
mc,eggho2,ts,20,500,9,-959.6407,-957.5606051987239,500,218.577,20448.031,5,100,0.1,50,0.001,mc_ts_eggho2_L5_n100_dr1e1_lr1e3_seed9.pkl
mc,hartmann6,ei,60,500,7,-3.32237,-3.1732628353591523,500,4554.029,5617.24,5,100,0.1,50,0.001,mc_ei_hartmann6_L5_n100_dr1e1_lr1e3_seed7.pkl
mc,hartmann6,ei,60,500,8,-3.32237,-3.300072615872749,500,5059.764,5573.468,5,100,0.1,50,0.001,mc_ei_hartmann6_L5_n100_dr1e1_lr1e3_seed8.pkl
mc,hartmann6,ei,60,500,9,-3.32237,-3.303337297556932,500,5010.444,5884.291,5,100,0.1,50,0.001,mc_ei_hartmann6_L5_n100_dr1e1_lr1e3_seed9.pkl
mc,rosenbrock4,ts,40,500,1,-1.01917,-1.0191165373378965,500,518.776,16630.866,5,100,0.1,50,0.001,mc_ts_rosenbrock4_L5_n100_dr1e1_lr1e3_seed1.pkl
mc,hartmann6,ts,60,500,0,-3.32237,-3.1879152948060043,500,263.517,17319.716,5,100,0.1,50,0.001,mc_ts_hartmann6_L5_n100_dr1e1_lr1e3_seed0.pkl
mc,hartmann6,ts,60,500,2,-3.32237,-3.279569729929495,500,258.764,17045.799,5,100,0.1,50,0.001,mc_ts_hartmann6_L5_n100_dr1e1_lr1e3_seed2.pkl
mc,hartmann6,ts,60,500,1,-3.32237,-3.280396124766566,500,255.823,17849.94,5,100,0.1,50,0.001,mc_ts_hartmann6_L5_n100_dr1e1_lr1e3_seed1.pkl
mc,ackley5,ei,50,500,0,0.0,1.6733282298902061,500,3855.188,5660.342,5,100,0.1,50,0.001,mc_ei_ackley5_L5_n100_dr1e1_lr1e3_seed0.pkl
mc,hartmann6,ts,60,500,3,-3.32237,-3.1730802541409533,500,262.014,17493.439,5,100,0.1,50,0.001,mc_ts_hartmann6_L5_n100_dr1e1_lr1e3_seed3.pkl
mc,ackley5,ei,50,500,1,0.0,2.0676226712550445,500,4065.367,5742.964,5,100,0.1,50,0.001,mc_ei_ackley5_L5_n100_dr1e1_lr1e3_seed1.pkl
mc,ackley5,ei,50,500,2,0.0,1.6861061248132607,500,4065.904,5751.588,5,100,0.1,50,0.001,mc_ei_ackley5_L5_n100_dr1e1_lr1e3_seed2.pkl
mc,hartmann6,ts,60,500,4,-3.32237,-3.1585396565898787,500,258.617,17742.051,5,100,0.1,50,0.001,mc_ts_hartmann6_L5_n100_dr1e1_lr1e3_seed4.pkl
mc,rosenbrock4,ts,40,500,5,-1.01917,-1.0191670219661428,500,505.263,16182.62,5,100,0.1,50,0.001,mc_ts_rosenbrock4_L5_n100_dr1e1_lr1e3_seed5.pkl
mc,hartmann6,ts,60,500,5,-3.32237,-3.1539254177989053,500,263.22,17581.247,5,100,0.1,50,0.001,mc_ts_hartmann6_L5_n100_dr1e1_lr1e3_seed5.pkl
mc,hartmann6,ts,60,500,6,-3.32237,-3.175929906698478,500,263.042,17684.575,5,100,0.1,50,0.001,mc_ts_hartmann6_L5_n100_dr1e1_lr1e3_seed6.pkl
mc,rosenbrock4,ts,40,500,7,-1.01917,-1.0191356706019477,500,504.918,17277.696,5,100,0.1,50,0.001,mc_ts_rosenbrock4_L5_n100_dr1e1_lr1e3_seed7.pkl
mc,ackley5,ei,50,500,3,0.0,2.1143632641741625,500,4316.701,5682.518,5,100,0.1,50,0.001,mc_ei_ackley5_L5_n100_dr1e1_lr1e3_seed3.pkl
mc,hartmann6,ts,60,500,7,-3.32237,-3.2815756352511936,500,262.498,18088.511,5,100,0.1,50,0.001,mc_ts_hartmann6_L5_n100_dr1e1_lr1e3_seed7.pkl
mc,hartmann6,ts,60,500,8,-3.32237,-3.282123832048001,500,257.254,17186.502,5,100,0.1,50,0.001,mc_ts_hartmann6_L5_n100_dr1e1_lr1e3_seed8.pkl
mc,hartmann6,ts,60,500,9,-3.32237,-3.2928538961663425,500,262.183,17386.716,5,100,0.1,50,0.001,mc_ts_hartmann6_L5_n100_dr1e1_lr1e3_seed9.pkl
mc,ackley5,ei,50,500,4,0.0,2.3708732599922513,500,4174.806,5661.319,5,100,0.1,50,0.001,mc_ei_ackley5_L5_n100_dr1e1_lr1e3_seed4.pkl
mc,ackley5,ei,50,500,5,0.0,1.666578624457447,500,4226.235,5412.806,5,100,0.1,50,0.001,mc_ei_ackley5_L5_n100_dr1e1_lr1e3_seed5.pkl
mc,ackley5,ei,50,500,6,0.0,2.387063985764147,500,4134.955,5398.642,5,100,0.1,50,0.001,mc_ei_ackley5_L5_n100_dr1e1_lr1e3_seed6.pkl
mc,ackley5,ei,50,500,7,0.0,2.338286777669552,500,4305.673,5350.291,5,100,0.1,50,0.001,mc_ei_ackley5_L5_n100_dr1e1_lr1e3_seed7.pkl
mc,ackley5,ei,50,500,8,0.0,1.1893239654271603,500,4124.911,5413.685,5,100,0.1,50,0.001,mc_ei_ackley5_L5_n100_dr1e1_lr1e3_seed8.pkl
mc,ackley5,ei,50,500,9,0.0,2.6507521649311236,500,3938.286,5259.222,5,100,0.1,50,0.001,mc_ei_ackley5_L5_n100_dr1e1_lr1e3_seed9.pkl
mc,ackley5,ts,50,500,0,0.0,5.797468002719981,500,186.162,14165.04,5,100,0.1,50,0.001,mc_ts_ackley5_L5_n100_dr1e1_lr1e3_seed0.pkl
mc,ackley5,ts,50,500,1,0.0,5.1198288734341055,500,180.12,14081.102,5,100,0.1,50,0.001,mc_ts_ackley5_L5_n100_dr1e1_lr1e3_seed1.pkl
mc,ackley5,ts,50,500,2,0.0,5.695900549310558,500,177.331,14036.668,5,100,0.1,50,0.001,mc_ts_ackley5_L5_n100_dr1e1_lr1e3_seed2.pkl
mc,ackley5,ts,50,500,3,0.0,4.135109519398124,500,181.233,13807.749,5,100,0.1,50,0.001,mc_ts_ackley5_L5_n100_dr1e1_lr1e3_seed3.pkl
mc,ackley5,ts,50,500,4,0.0,5.278774773025152,500,173.343,13102.977,5,100,0.1,50,0.001,mc_ts_ackley5_L5_n100_dr1e1_lr1e3_seed4.pkl
mc,ackley5,ts,50,500,6,0.0,5.426198624486933,500,160.628,12552.164,5,100,0.1,50,0.001,mc_ts_ackley5_L5_n100_dr1e1_lr1e3_seed6.pkl
mc,ackley5,ts,50,500,5,0.0,5.029674823505882,500,161.849,12903.125,5,100,0.1,50,0.001,mc_ts_ackley5_L5_n100_dr1e1_lr1e3_seed5.pkl
mc,ackley5,ts,50,500,7,0.0,5.409931671805687,500,147.293,12351.588,5,100,0.1,50,0.001,mc_ts_ackley5_L5_n100_dr1e1_lr1e3_seed7.pkl
mc,ackley5,ts,50,500,8,0.0,5.890473218716988,500,137.073,12151.664,5,100,0.1,50,0.001,mc_ts_ackley5_L5_n100_dr1e1_lr1e3_seed8.pkl
mc,ackley5,ts,50,500,9,0.0,5.989302429013172,500,132.701,12831.509,5,100,0.1,50,0.001,mc_ts_ackley5_L5_n100_dr1e1_lr1e3_seed9.pkl
